,유닛수,DropOut,층 개수,최적 개수,최소 rmse,최적 예측값
0,16,0,1,3000,1287.7837540963037,[[59526.816]]
1,16,0,2,3000,1113.5390089656833,[[59226.473]]
2,64,0,1,3000,1111.9620151049635,[[60727.47]]
3,64,0,2,3000,1112.0185237859985,[[60004.2]]
4,128,0,1,3000,1109.4733552542868,[[60301.332]]
5,128,0,2,3000,1054.2899111648087,[[59796.723]]
6,16,0.2,1,2000,1429.793001185356,[[60621.676]]
7,16,0.2,2,2000,1672.72150835303,[[59413.473]]
8,64,0.2,1,1000,1406.0230732901728,[[61181.633]]
9,64,0.2,2,2000,1472.3345007293497,[[60844.43]]
10,128,0.2,1,2000,1310.4951932246995,[[59696.953]]
11,128,0.2,2,2000,1841.057443756208,[[60386.52]]
12,16,0.3,1,2000,2329.1688385389125,[[58442.695]]
13,16,0.3,2,2000,1723.0423148660607,[[59432.234]]
14,64,0.3,1,2000,1383.981425417424,[[60697.324]]
15,64,0.3,2,3000,2427.598223142927,[[59461.305]]
16,128,0.3,1,2000,1452.2950131534512,[[61614.254]]
17,128,0.3,2,3000,4342.116485364774,[[58106.316]]
